Gas_Stations_Address,Latitude,Longitude,Pincode,Pincode( frst 3 characters),Latitiude of the nearest Fast Charger,Longitude of the nearest fast charger,Distance with the nearest fast EV charger
A6 Kraichgau Nord · 74889 Sinsheim,49.2420328,8.8856288,74889,748,49.28515,9.159708,20.4578883
Bab 6 · 91126 Kammerstein,49.3048159,10.9586661,91126,911,49.337413,11.014337,5.423922095
Schwarzwaldstraße 5 · 74889 Sinsheim,49.246625,8.8948387,74889,748,49.28515,9.159708,19.69058829
Bab A6 / Pfalz · 67319 Wattenheim,49.5102506,8.0205188,67319,673,49.331093,8.430171,35.70516637
"Bab A6, Hohenlohe Nordseite · 74632 Neuenstein",49.2149496,9.598704,74632,746,49.20091526,9.527040807,5.434864864
A6 Am Hockenheimring West · 68766 Hockenheim,49.3201786,8.5680187,68766,687,49.225891,8.517717,11.10128435
Rudolfstraße 7 · 65510 Idstein,50.2240331,8.2547209,65510,655,50.2968102,8.2538528,8.092679585
Frankfurter Straße 13 · 65551 Limburg-Lindenholzhausen,50.3726911,8.1218983,65551,655,50.2968102,8.2538528,12.60581718
Mundipharma Straße 1 · 65549 Limburg an der Lahn,50.3986009,8.0752596,65549,655,50.2968102,8.2538528,16.99114331
Limburger Straße 51-53 · 65604 Elz,50.406513,8.0366739,65604,656,50.413358,8.035598,0.764938311
Kapellenstraße 10 · 65555 Limburg,50.4156133,8.0638143,65555,655,50.2968102,8.2538528,18.87530788
Schneiderstraße 11 · 40764 Langenfeld,51.1201504,6.9701832,40764,407,51.169791,6.936066,6.011007456
Wiesbadener Straße 77 · 65510 Idstein,50.2177659,8.263512,65510,655,50.2968102,8.2538528,8.816108839
Industriestraße 26 · 56412 Heiligenroth,50.4491075,7.8506235,56412,564,50.447712,7.850348,0.156393852
Westerwaldstraße 23 · 56587 Oberhonnefeld,50.5606263,7.5270599,56587,565,50.5925207,7.5304652,3.554638084
